él,hombres,género
ellos,hombres,género
este,hombres,género
estos,hombres,género
ese,hombres,género
esos,hombres,género
aquel,hombres,género
aquellos,hombres,género
el,hombres,género
los,hombres,género
un,hombres,género
unos,hombres,género
mismo,hombres,género
mismos,hombres,género
muchos,hombres,género
abogado,hombres,género
acomodador,hombres,género
actor,hombres,género
administrador,hombres,género
adonis,hombres,género
aficionado,hombres,género
agricultor,hombres,género
ahijado,hombres,género
alabardero,hombres,género
alcalde,hombres,género
amigo,hombres,género
anciano,hombres,género
anfitrión,hombres,género
arador,hombres,género
arquitecto,hombres,género
arrendatario,hombres,género
arriero,hombres,género
artillero,hombres,género
asesino,hombres,género
asesor,hombres,género
aviador,hombres,género
bailarín,hombres,género
barquero,hombres,género
barrendero,hombres,género
basurero,hombres,género
bracero,hombres,género
bribón,hombres,género
caballero,hombres,género
cabrero,hombres,género
camarero,hombres,género
canalla,hombres,género
capataz,hombres,género
casanova,hombres,género
cazador,hombres,género
chambelán,hombres,género
charlatán,hombres,género
chico,hombres,género
chino,hombres,género
chiquillo,hombres,género
científico,hombres,género
ciudadano,hombres,género
colegial,hombres,género
compañero,hombres,género
comprador,hombres,género
conductor,hombres,género
conquistador,hombres,género
conservador,hombres,género
constructor,hombres,género
cornudo,hombres,género
corsario,hombres,género
coyote,hombres,género
cuidador,hombres,género
dandy,hombres,género
defensor,hombres,género
desguazador,hombres,género
deshollinador,hombres,género
desollador,hombres,género
director,hombres,género
diseñador,hombres,género
divorciado,hombres,género
doctor,hombres,género
duende,hombres,género
empleado,hombres,género
enamorado,hombres,género
encargado,hombres,género
escardador,hombres,género
esclavo,hombres,género
espigador,hombres,género
esposo,hombres,género
estibador,hombres,género
eunuco,hombres,género
examinador,hombres,género
fanfarrón,hombres,género
farmacéutico,hombres,género
fisgón,hombres,género
gallito,hombres,género
generalísimo,hombres,género
gitano,hombres,género
golfillo,hombres,género
golfo,hombres,género
granjero,hombres,género
granuja,hombres,género
guardián,hombres,género
hermano,hombres,género
hermanito,hombres,género
hijo,hombres,género
hombre,hombres,género
hombres,hombres,género
huérfano,hombres,género
húsar,hombres,género
infiltrado,hombres,género
ingeniero,hombres,género
inquilino,hombres,género
inspector,hombres,género
instructor,hombres,género
investigador,hombres,género
jefe,hombres,género
jeque,hombres,género
jornalero,hombres,género
juez,hombres,género
júnior,hombres,género
labriego,hombres,género
ladrón,hombres,género
leñador,hombres,género
limpiador,hombres,género
macho,hombres,género
maestro,hombres,género
mamón,hombres,género
marido,hombres,género
marinero,hombres,género
matón,hombres,género
mayordomo,hombres,género
minero,hombres,género
mirón,hombres,género
mozo,hombres,género
médico,hombres,género
negro,hombres,género
niño,hombres,género
niñato,hombres,género
novio,hombres,género
observador,hombres,género
padre,hombres,género
panadero,hombres,género
pastor,hombres,género
patriarca,hombres,género
patrón,hombres,género
patán,hombres,género
peregrino,hombres,género
petimetre,hombres,género
peón,hombres,género
pintor,hombres,género
pionero,hombres,género
polígamo,hombres,género
porquero,hombres,género
portero,hombres,género
postulador,hombres,género
preso,hombres,género
primo,hombres,género
prisionero,hombres,género
profesor,hombres,género
propietario,hombres,género
proxeneta,hombres,género
príncipe,hombres,género
putero,hombres,género
pícaro,hombres,género
rastreador,hombres,género
recadero,hombres,género
recaudador,hombres,género
recogedor,hombres,género
revisor,hombres,género
sabueso,hombres,género
sacristán,hombres,género
sansón,hombres,género
segador,hombres,género
sepulturero,hombres,género
señor,hombres,género
sherlock,hombres,género
sobrecargo,hombres,género
sobrino,hombres,género
socio,hombres,género
soltero,hombres,género
sonámbulo,hombres,género
sr,hombres,género
superintendente,hombres,género
tarzán,hombres,género
tendedero,hombres,género
terrateniente,hombres,género
timonel,hombres,género
trabajador,hombres,género
vecino,hombres,género
vejete,hombres,género
vencedor,hombres,género
veterano,hombres,género
veterinario,hombres,género
viejo,hombres,género
violador,hombres,género
viudo,hombres,género
voyeur,hombres,género
zagal,hombres,género
adolescente,indefinido,unmarked
agente,indefinido,unmarked
alguacil,indefinido,unmarked
árbitro,indefinido,unmarked
atleta,indefinido,unmarked
auxiliar,indefinido,unmarked
ayudante,indefinido,unmarked
bebé,indefinido,unmarked
bombero,indefinido,unmarked
camarada,indefinido,unmarked
cantante,indefinido,unmarked
capitán,indefinido,unmarked
che,indefinido,unmarked
comandante,indefinido,unmarked
coronel,indefinido,unmarked
conserje,indefinido,unmarked
consorte,indefinido,unmarked
contramaestre,indefinido,unmarked
contratista,indefinido,unmarked
copiloto,indefinido,unmarked
curador,indefinido,unmarked
cómplice,indefinido,unmarked
dentista,indefinido,unmarked
deportista,indefinido,unmarked
detective,indefinido,unmarked
dietista,indefinido,unmarked
disidente,indefinido,unmarked
escolta,indefinido,unmarked
espía,indefinido,unmarked
estudiante,indefinido,unmarked
ex,indefinido,unmarked
fan,indefinido,unmarked
fisioterapeuta,indefinido,unmarked
gendarme,indefinido,unmarked
guerrillero,indefinido,unmarked
guardabosques,indefinido,unmarked
guardacostas,indefinido,unmarked
guía,indefinido,unmarked
habitante,indefinido,unmarked
hincha,indefinido,unmarked
huelguista,indefinido,unmarked
huésped,indefinido,unmarked
individuo,indefinido,unmarked
infante,indefinido,unmarked
jardinero,indefinido,unmarked
jinete,indefinido,unmarked
joven,indefinido,unmarked
kamikaze,indefinido,unmarked
lactante,indefinido,unmarked
logopeda,indefinido,unmarked
mánager,indefinido,unmarked
manitas,indefinido,género
mentalista,indefinido,género
militar,indefinido,unmarked
motociclista,indefinido,unmarked
navegante,indefinido,unmarked
oficial,indefinido,unmarked
pasajero,indefinido,unmarked
periodista,indefinido,unmarked
piloto,indefinido,unmarked
poli,indefinido,unmarked
policía,indefinido,unmarked
presidente,indefinido,unmarked
protagonista,indefinido,unmarked
recepcionista,indefinido,unmarked
recluta,indefinido,unmarked
representante,indefinido,unmarked
sargento,indefinido,unmarked
soldado,indefinido,unmarked
subcontratista,indefinido,unmarked
submarinista,indefinido,unmarked
suboficial,indefinido,unmarked
taxista,indefinido,unmarked
testigo,indefinido,unmarked
transportista,indefinido,unmarked
turista,indefinido,unmarked
ujier,indefinido,unmarked
vejestorio,indefinido,unmarked
vigilante,indefinido,unmarked
ella,mujeres,género
ellas,mujeres,género
esta,mujeres,género
estas,mujeres,género
esa,mujeres,género
esas,mujeres,género
aquella,mujeres,género
aquellas,mujeres,género
la,mujeres,género
las,mujeres,género
una,mujeres,género
unas,mujeres,género
misma,mujeres,género
mismas,mujeres,género
muchas,mujeres,género
abogada,mujeres,género
abuela,mujeres,género
acomodadora,mujeres,género
actriz,mujeres,género
administradora,mujeres,género
aficionada,mujeres,género
agricultora,mujeres,género
ahijada,mujeres,género
alcaldesa,mujeres,género
ama,mujeres,género
amada,mujeres,género
amante,mujeres,género
amiga,mujeres,género
anciana,mujeres,género
anfitriona,mujeres,género
animadora,mujeres,género
arquitecta,mujeres,género
arrendataria,mujeres,género
asesora,mujeres,género
asistenta,mujeres,género
aviadora,mujeres,género
azafata,mujeres,género
bailarina,mujeres,género
baronesa,mujeres,género
barrendera,mujeres,género
cabrera,mujeres,género
camarera,mujeres,género
casada,mujeres,género
cenicienta,mujeres,género
charlatana,mujeres,género
chica,mujeres,género
china,mujeres,género
chismosa,mujeres,género
científica,mujeres,género
ciudadana,mujeres,género
colegiala,mujeres,género
compañera,mujeres,género
compradora,mujeres,género
concubina,mujeres,género
condesa,mujeres,género
conductora,mujeres,género
conquistadora,mujeres,género
cornuda,mujeres,género
cortesana,mujeres,género
cuidadora,mujeres,género
dalila,mujeres,género
dama,mujeres,género
damisela,mujeres,género
defensora,mujeres,género
directora,mujeres,género
diseñadora,mujeres,género
divorciada,mujeres,género
doctora,mujeres,género
doncella,mujeres,género
dríada,mujeres,género
dríade,mujeres,género
dulcinea,mujeres,género
duquesa,mujeres,género
embarazada,mujeres,género
empleada,mujeres,género
enamorada,mujeres,género
encargada,mujeres,género
enfermera,mujeres,género
enviada,mujeres,género
esclava,mujeres,género
esposa,mujeres,género
examinadora,mujeres,género
farmacéutica,mujeres,género
fisgona,mujeres,género
geisha,mujeres,género
gitana,mujeres,género
granjera,mujeres,género
guardiana,mujeres,género
hamadríade,mujeres,género
hechicera,mujeres,género
hermana,mujeres,género
hermanastra,mujeres,género
hermanita,mujeres,género
heroína,mujeres,género
hija,mujeres,género
hurí,mujeres,género
huérfana,mujeres,género
infanta,mujeres,género
infiltrada,mujeres,género
ingeniera,mujeres,género
inquilina,mujeres,género
inspectora,mujeres,género
instructora,mujeres,género
investigadora,mujeres,género
jefa,mujeres,género
jequesa,mujeres,género
jueza,mujeres,género
ladrona,mujeres,género
lesbiana,mujeres,género
limpiadora,mujeres,género
literata,mujeres,género
lolita,mujeres,género
lulú,mujeres,género
madre,mujeres,género
maestra,mujeres,género
mamá,mujeres,género
marimacho,mujeres,género
marinera,mujeres,género
marquesa,mujeres,género
materfamilias,mujeres,género
matriarca,mujeres,género
matrona,mujeres,género
mestiza,mujeres,género
minera,mujeres,género
moza,mujeres,género
mucama,mujeres,género
muchacha,mujeres,género
mujer,mujeres,género
mujercita,mujeres,género
mujeres,mujeres,género
mujerzuela,mujeres,género
médica,mujeres,género
ménade,mujeres,género
